cable_id,sld_schema,cbl_type,label,from,calc_lengt,splice_id,to,backhaul,sp1_type,sp1_label,sp2_type,sp2_label,stru_label,enc_type,placement,sc_type,coords_from,coords_to,reel_end
100,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;,12,GAL/A067/12F,GAL/A066,61,67,GAL/A067,2,SP4A,GAL/A067/A125/3,SP4A,GAL/A067/A125/7,1656617,2,1,ODP2,POINT(524412.08 726782.92),POINT(524428.91 726823.53),2
275,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;,12,GAL/A279/12F,GAL/A067,50,279,GAL/A279,2,SP4A,GAL/A279/A125/5,NULL,NULL,NULL,2,3,ODP2,POINT(524428.91 726823.53),POINT(524456.78 726833.93),2
99,1;2;2;3;2;2;2;1;2;2;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;,12,GAL/A068/12F,GAL/A067,136,68,GAL/A068,2,SP4A,GAL/A068/A125/4,,NULL,1465284,2,1,ODP2,POINT(524428.91 726823.53),POINT(524479.06 726928.89),2
120,1;2;2;3;2;2;2;1;2;2;2;2;,96,GAL/A103/96F,GAL/A031,3647,103,GAL/A103,1,SP4B,GAL/A103/A131,,NULL,GAL/A/EIR/CH097,1,2,ODP1,POINT(526828.01 725758.63),POINT(524671.39 723803.09),2
39,1;2;2;3;2;2;2;1;2;2;2;2;1;,24,GAL/A277/24F,GAL/A103,159,277,GAL/A277,2,,NULL,,NULL,GAL/A/EIR/CH021,4,2,JOINT,POINT(524671.39 723803.09),POINT(524756.64 723759.18),2
273,1;2;2;3;2;2;2;1;2;2;2;2;1;1;,12,GAL/A104/12F,GAL/A277,13,104,GAL/A281,2,SP8A,GAL/A281/A131/2,,NULL,NULL,2,3,ODP2,POINT(524756.64 723759.18),POINT(524754.41 723754.3),2
273,1;2;2;3;2;2;2;1;2;2;2;2;1;1;,12,GAL/A104/12F,GAL/A277,13,281,GAL/A104,2,SP8A,GAL/A104/A131/1,,NULL,NULL,2,3,ODP2,POINT(524756.64 723759.18),POINT(524754.41 723754.3),2
121,1;2;2;3;2;2;2;1;2;2;2;2;1;2;,24,GAL/A105/24F,GAL/A277,24,105,GAL/A105,2,SP4B,GAL/A105/A132,,NULL,GAL/A/EIR/CH324,1,2,ODP1,POINT(524756.64 723759.18),POINT(524774.5 723752.69),2
122,1;2;2;3;2;2;2;1;2;2;2;2;1;2;1;,12,GAL/A108/12F,GAL/A105,34,108,GAL/A108,2,SP8A,GAL/A108/A132/3,,NULL,NULL,2,3,ODP2,POINT(524774.5 723752.69),POINT(524776.55 723728.22),2
124,1;2;2;3;2;2;2;1;2;2;2;2;1;2;2;,12,GAL/A280/12F,GAL/A105,54,280,GAL/A106,2,SP8A,GAL/A106/A132/1,,NULL,NULL,2,3,ODP2,POINT(524774.5 723752.69),POINT(524807.31 723744.17),2
124,1;2;2;3;2;2;2;1;2;2;2;2;1;2;2;,12,GAL/A280/12F,GAL/A105,54,106,GAL/A280,2,SP8A,GAL/A280/A132/4,,NULL,NULL,2,3,ODP2,POINT(524774.5 723752.69),POINT(524807.31 723744.17),2
123,1;2;2;3;2;2;2;1;2;2;2;2;1;2;3;,12,GAL/A107/12F,GAL/A105,100,107,GAL/A107,2,SP8A,GAL/A107/A132/2,,NULL,GAL/A/EIR/CH308,2,3,ODP2,POINT(524774.5 723752.69),POINT(524809.39 723704.56),2
125,1;2;2;3;2;2;2;1;2;2;2;2;2;,96,GAL/A109/96F,GAL/A103,95,109,GAL/A109,1,,NULL,,NULL,GAL/A/EIR/CH027,4,2,JOINT,POINT(524671.39 723803.09),POINT(524590.06 723764.64),1
40,1;2;2;3;2;2;2;1;2;2;2;2;2;1;,12,GAL/A110/12F,GAL/A109,46,110,GAL/A110,2,SP8A,GAL/A110/A131/3,,NULL,E1000008,2,1,ODP2,POINT(524590.06 723764.64),POINT(524603.38 723786.83),2
239,1;2;2;3;2;2;2;1;2;2;2;2;2;1;1;,12,GAL/A111/12F,GAL/A110,251,111,GAL/A111,2,,NULL,,NULL,E1000016,3,1,ODP3,POINT(524603.38 723786.83),POINT(524452.06 723897.54),2
266,1;2;2;3;2;2;2;1;2;2;2;2;2;2;,96,GAL/A112/96F,GAL/A109,1052,112,GAL/A112,1,SP4B,GAL/A112/A133,SP4B,GAL/A112/A133/4,GAL/A/EIR/CH205,5,2,ODP1+ODP2,POINT(524590.06 723764.64),POINT(523900.62 723059.24),2
126,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;,96,GAL/A113/96F,GAL/A112,351,113,GAL/A113,1,SP4A,GAL/A113/A133/1,,NULL,GAL/A/EIR/CH329,2,2,ODP2,POINT(523900.62 723059.24),POINT(523572.42 722996.4),2
41,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;1;,12,GAL/A119/12F,GAL/A113,143,119,GAL/A119,2,SP4A,GAL/A119/A133/3,,NULL,GAL/A/EIR/CH386,2,2,ODP2,POINT(523572.42 722996.4),POINT(523581.62 722896.56),2
220,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;1;1;,12,GAL/A118/12F,GAL/A119,14,118,GAL/A118,2,SP4A,GAL/A118/A133/2,,NULL,GAL/A/EIR/CH349,2,2,ODP2,POINT(523581.62 722896.56),POINT(523582.84 722905.69),2
42,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;2;,24,GAL/A120/24F,GAL/A113,35,120,GAL/A120,2,SP4B,GAL/A120/A135,,NULL,GAL/A/EIR/CH411,1,2,ODP1,POINT(523572.42 722996.4),POINT(523555.33 723011.91),2
43,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;2;1;,12,GAL/A123/12F,GAL/A120,74,123,GAL/A123,2,SP4A,GAL/A123/A135/3,SP4A,GAL/A123/A135/4,GAL/A/EIR/CH495,2,2,ODP2,POINT(523555.33 723011.91),POINT(523612.46 723033.73),2
129,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;2;1;1;,12,GAL/A122/12F,GAL/A123,47,122,GAL/A122,2,SP4A,GAL/A122/A135/2,,NULL,GAL/A/EIR/CH202,2,2,ODP2,POINT(523612.46 723033.73),POINT(523610.01 723075.13),2
128,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;2;1;1;1;,12,GAL/A121/12F,GAL/A122,48,121,GAL/A121,2,SP4A,GAL/A121/A135/1,,NULL,GAL/A/EIR/CH106,2,2,ODP2,POINT(523610.01 723075.13),POINT(523649.86 723085.79),2
44,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;2;2;,24,GAL/A124/24F,GAL/A120,257,124,GAL/A124,2,SP4B,GAL/A124/A136,SP4B,GAL/A124/A136/4,GAL/A/EIR/CH217,5,2,ODP1+ODP2,POINT(523555.33 723011.91),POINT(523592.07 723255.93),2
223,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;2;2;1;,12,GAL/A125/12F,GAL/A124,62,125,GAL/A125,2,SP4A,GAL/A125/A136/1,,NULL,GAL/A/EIR/CH292,2,2,ODP2,POINT(523592.07 723255.93),POINT(523551.13 723225.98),2
222,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;,12,GAL/A126/12F,GAL/A125,79,126,GAL/A126,2,SP4A,GAL/A126/A136/2,,NULL,GAL/A/EIR/CH185,2,2,ODP2,POINT(523551.13 723225.98),POINT(523477.5 723220.3),2
221,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;1;,12,GAL/A127/12F,GAL/A126,81,127,GAL/A127,2,SP4A,GAL/A127/A136/3,,NULL,GAL/A/EIR/CH182,2,2,ODP2,POINT(523477.5 723220.3),POINT(523426.96 723270.53),2
127,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;,96,GAL/A114/96F,GAL/A113,111,114,GAL/A114,1,SP4B,GAL/A114/A134,SP4B,GAL/A114/A134/4,GAL/A/EIR/CH241,5,2,ODP1+ODP2,POINT(523572.42 722996.4),POINT(523467.21 723001.14),2
131,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;,96,GAL/A115/96F,GAL/A114,76,115,GAL/A115,1,SP4A,GAL/A115/A134/1,,NULL,GAL/A/EIR/CH034,2,2,ODP2,POINT(523467.21 723001.14),POINT(523397.37 722987.44),2
130,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;1;,12,GAL/A117/12F,GAL/A115,72,117,GAL/A117,2,SP4A,GAL/A117/A134/3,,NULL,E1000012,2,1,ODP2,POINT(523397.37 722987.44),POINT(523400.71 722934.2),2
246,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;2;,12,GAL/A116/12F,GAL/A115,118,116,GAL/A116,2,SP4A,GAL/A116/A134/2,,NULL,202980,2,1,ODP2,POINT(523397.37 722987.44),POINT(523341.3 723069.73),2
132,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;,96,GAL/A128/96F,GAL/A115,252,128,GAL/A128,1,SP8A,GAL/A128/A137,,NULL,GAL/A/EIR/CH001,1,2,ODP1,POINT(523397.37 722987.44),POINT(523154.98 722941.14),2
45,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;1;,12,GAL/A129/12F,GAL/A128,244,129,GAL/A129,2,SP4A,GAL/A129/A137/1,,NULL,1539093,2,1,ODP2,POINT(523154.98 722941.14),POINT(523187.31 722794.88),2
232,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;,24,GAL/A130/24F,GAL/A128,329,130,GAL/A130,2,SP4A,GAL/A130/A137/2,,NULL,195752,2,1,ODP2,POINT(523154.98 722941.14),POINT(523045.68 723208.08),2
133,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;,24,GAL/A131/24F,GAL/A130,164,131,GAL/A131,2,SP4A,GAL/A131/A137/3,,NULL,195787,2,1,ODP2,POINT(523045.68 723208.08),POINT(523030.74 723354.61),2
233,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;,24,GAL/A132/24F,GAL/A131,99,132,GAL/A132,2,SP4A,GAL/A132/A137/4,,NULL,189149,2,1,ODP2,POINT(523030.74 723354.61),POINT(523028.96 723433.66),2
10,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;,24,GAL/A133/24F,GAL/A132,127,133,GAL/A133,2,SP4A,GAL/A133/A137/5,,NULL,195571,2,1,ODP2,POINT(523028.96 723433.66),POINT(523033.46 723541.91),2
136,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;,24,GAL/A134/24F,GAL/A133,53,134,GAL/A134,2,SP4A,GAL/A134/A137/6,,NULL,1503288,2,1,ODP2,POINT(523033.46 723541.91),POINT(523037.37 723574.62),2
135,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;,24,GAL/A135/24F,GAL/A134,203,135,GAL/A135,2,SP4A,GAL/A135/A137/7,,NULL,195603,2,1,ODP2,POINT(523037.37 723574.62),POINT(523068.23 723754.85),2
134,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;,24,GAL/A136/24F,GAL/A135,177,136,GAL/A136,2,SP4A,GAL/A136/A137/8,,NULL,195573,2,1,ODP2,POINT(523068.23 723754.85),POINT(523092.91 723910.18),2
234,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;,24,GAL/A138/24F,GAL/A136,605,138,GAL/A138,2,SP8A,GAL/A138/A138,SP4B,GAL/A138/A138/8,195584,5,1,ODP1+ODP2,POINT(523092.91 723910.18),POINT(522994.48 724460.26),2
137,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;,12,GAL/A139/12F,GAL/A138,466,139,GAL/A139,2,,NULL,,NULL,1066759,4,1,JOINT,POINT(522994.48 724460.26),POINT(522757.54 724836.98),2
12,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;1;,12,GAL/A140/12F,GAL/A139,284,140,GAL/A140,2,SP4A,GAL/A140/A138/2,,NULL,1710639,2,1,ODP2,POINT(522757.54 724836.98),POINT(522520.15 724727.22),2
139,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;1;1;,12,GAL/A141/12F,GAL/A140,74,141,GAL/A141,2,SP4A,GAL/A141/A138/3,,NULL,427176,2,1,ODP2,POINT(522520.15 724727.22),POINT(522469.24 724701.64),2
138,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;2;,12,GAL/A271/12F,GAL/A139,1039,271,GAL/A271,2,,NULL,,NULL,189197,4,1,JOINT,POINT(522757.54 724836.98),POINT(522485.49 725815.86),2
46,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;2;1;,12,GAL/A143/12F,GAL/A271,253,143,GAL/A143,2,SP4A,GAL/A143/A138/5,,NULL,2277292,2,1,ODP2,POINT(522485.49 725815.86),POINT(522270.54 725910.13),2
217,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;2;1;1;,12,GAL/A272/12F,GAL/A143,463,272,GAL/A272,2,,NULL,,NULL,1326669,3,1,ODP3,POINT(522270.54 725910.13),POINT(521857.35 726075.85),2
218,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;2;1;1;1;,12,GAL/A144/12F,GAL/A272,1441,144,GAL/A144,2,SP4A,GAL/A144/A138/6,,NULL,1692459,2,1,ODP2,POINT(521857.35 726075.85),POINT(520486.26 726353.4),2
140,1;2;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;3;2;1;1;1;1;1;1;1;1;2;1;1;1;1;,12,GAL/A145/12F,GAL/A144,517,145,GAL/A145,2,,NULL,,NULL,1453036,3,1,ODP3,POINT(520486.26 726353.4),POINT(519988.28 726348.66),2
